px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	meas_type	NIS
0	0	0	0	0	0	0	0	0	0	0	L	6.89908e-310
0.0342172	-0.0342172	0	0	0	0	0	0	0	0	0	R	1.58074
1.55613	-0.12928	1.641	0	-2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	L	0.267721
1.63071	0.0196089	2.08937	-0.0515007	-0.0527441	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	R	2.83374
3.87777	-0.129921	3.06334	-0.295194	-0.18332	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	L	1.19685
3.94668	0.0711972	2.82212	0.089557	0.132642	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	R	4.06252
6.84917	0.414692	3.80903	0.285432	0.301105	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	L	0.673824
6.76578	0.440781	3.64992	0.334487	0.357854	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	R	1.61046
9.06994	0.597798	3.62957	1.17366	-0.362159	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	L	0.556779
9.02056	0.687265	2.52885	0.229814	-0.0782543	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	R	3.77684
11.5682	1.66713	3.45359	0.116529	-0.0767612	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	L	0.574303
11.5411	1.62847	2.99366	0.0892828	-0.0783297	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	R	0.629575
13.5945	2.30799	2.84392	0.338557	0.121465	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	L	0.119647
13.605	2.27229	2.9202	0.30492	0.0879054	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	R	0.522326
16.6327	2.90464	3.54644	-0.158936	-0.263477	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	L	0.827021
16.5629	2.89006	3.28296	-0.175442	-0.288412	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	R	1.16649
19.0125	3.69558	2.71556	0.346897	0.166581	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	L	0.790794
19.0806	3.71826	2.71147	0.377936	0.193005	19.363	3.87122	18.923	3.74161	2.61382	0.95648	R	1.3175
21.3253	4.73154	3.01311	0.468244	0.12739	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	L	0.0749305
21.3807	4.74151	3.04902	0.458687	0.124445	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	R	0.768596
24.0679	5.5715	3.42916	0.207296	-0.114014	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	L	0.318053
24.162	5.59782	3.3191	0.179348	-0.136296	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	R	3.04572
26.6095	6.95252	3.16555	0.603472	0.219586	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	L	0.452713
26.5968	6.9465	3.27171	0.587791	0.197444	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	R	0.0729008
29.5711	8.08886	3.74977	0.255451	-0.146071	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	L	0.663493
29.5414	8.07395	3.30266	0.236624	-0.166122	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	R	0.547063
31.9459	9.86859	3.22306	0.80481	0.303148	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	L	0.766419
31.9017	9.84598	3.26667	0.782311	0.274298	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	R	0.681165
34.6075	10.713	2.59067	0.198788	-0.281708	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	L	1.34838
34.7149	10.7649	3.04198	0.196023	-0.259677	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	R	2.69263
37.1411	12.0768	3.06856	0.590846	0.157116	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	L	0.606394
37.2187	12.1022	3.26302	0.58705	0.145727	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	R	1.49047
40.3099	13.4641	4.07026	0.286076	-0.144634	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	L	0.769426
40.2251	13.428	3.30181	0.246245	-0.190591	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	R	1.97228
42.7685	14.8209	3.2857	0.576247	0.14383	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	L	0.388002
42.7441	14.8143	3.327	0.568137	0.133474	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	R	0.188914
45.3484	16.5494	3.79354	0.584443	0.057091	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	L	0.16165
45.3833	16.5614	3.45954	0.607127	0.125676	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	R	1.00051
48.1516	17.2921	3.13035	0.156578	-0.240383	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	L	0.510318
48.1249	17.2827	2.97464	0.146629	-0.257909	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	R	0.202946
50.6193	19.0536	3.12836	0.87191	0.375196	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	L	1.48281
50.6009	19.0373	3.29319	0.812754	0.295365	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	R	0.267389
53.7108	19.9121	2.86158	0.0780144	-0.381073	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	L	2.09554
53.6785	19.9071	2.90143	0.107237	-0.341395	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	R	0.352689
56.0338	21.0767	2.73737	0.537813	0.156818	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	L	0.978813
56.0048	21.0617	2.80715	0.509664	0.12791	55.867	20.985	55.9669	20.9874	2.56561	0.978022	R	0.348483
58.6509	21.7873	3.18346	0.122687	-0.205245	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	L	0.512507
58.6485	21.7855	3.07198	0.107149	-0.226634	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	R	0.0328928
60.879	22.7781	2.63136	0.446813	0.136193	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	L	0.570813
